Name                                                                           Stmts   Miss   Cover   Missing
-------------------------------------------------------------------------------------------------------------
backend\__init__.py                                                               55     50   9.09%   8-78
backend\admin.py                                                                  44     44   0.00%   2-61
backend\auth\__init__.py                                                           0      0 100.00%
backend\auth\api_decorators.py                                                    42     15  64.29%   9-21, 29, 42-43, 52, 60, 73-74
backend\auth\sso.py                                                               36     36   0.00%   2-77
backend\auth\windows_identity.py                                                  14     14   0.00%   1-30
backend\celery_app.py                                                             12     12   0.00%   1-22
backend\chat.py                                                                  106    106   0.00%   7-253
backend\config\__init__.py                                                         2      2   0.00%   2-4
backend\config\settings.py                                                        52     52   0.00%   10-128
backend\config_manager.py                                                         87     87   0.00%   8-217
backend\contextual_api.py                                                         50     50   0.00%   9-104
backend\data_loader.py                                                           124    124   0.00%   1-284
backend\decorators.py                                                             39     39   0.00%   7-93
backend\email_service.py                                                          51     51   0.00%   10-139
backend\enterprise_architecture.py                                                98     98   0.00%   9-219
backend\export_service.py                                                         91     91   0.00%   10-243
backend\graphql_schema.py                                                        163     51  68.71%   124, 128-155, 159-175, 179-200, 204-209, 213-218, 256-258, 281
backend\honeycomb_api.py                                                          74     74   0.00%   2-152
backend\i18n.py                                                                   32     32   0.00%   7-92
backend\init_db.py                                                               159    159   0.00%   11-271
backend\knowledge_algorithms\__init__.py                                           0      0 100.00%
backend\knowledge_algorithms\ka_01_algorithm_of_thought.py                        70     70   0.00%   5-108
backend\knowledge_algorithms\ka_02_tree_of_thought.py                             68     68   0.00%   5-100
backend\knowledge_algorithms\ka_03_gap_analysis.py                                49     49   0.00%   5-85
backend\knowledge_algorithms\ka_04_input_validation__normalization.py             82     82   0.00%   5-122
backend\knowledge_algorithms\ka_05_query_classification.py                        88     88   0.00%   5-158
backend\knowledge_algorithms\ka_06_deep_planning.py                               50     50   0.00%   5-82
backend\knowledge_algorithms\ka_07_recursive_reasoning_control.py                 58     58   0.00%   5-101
backend\knowledge_algorithms\ka_08_self_critique__reflection.py                   69     69   0.00%   5-98
backend\knowledge_algorithms\ka_09_evidence_validation.py                         67     67   0.00%   5-100
backend\knowledge_algorithms\ka_10_bias_detection.py                              54     54   0.00%   5-84
backend\knowledge_algorithms\ka_11_analytical_modeling.py                         46     46   0.00%   5-77
backend\knowledge_algorithms\ka_12_persona_simulation.py                          54     54   0.00%   5-98
backend\knowledge_algorithms\ka_13_persona_weighting.py                           50     50   0.00%   5-81
backend\knowledge_algorithms\ka_14_confidence_scoring.py                          53     53   0.00%   5-84
backend\knowledge_algorithms\ka_15_temporal_reasoning.py                          65     65   0.00%   5-97
backend\knowledge_algorithms\ka_16_regulatory_mapping.py                          50     50   0.00%   5-79
backend\knowledge_algorithms\ka_17_spatial_jurisdiction_mapping.py                43     43   0.00%   5-71
backend\knowledge_algorithms\ka_18_source_provenance.py                           43     43   0.00%   5-68
backend\knowledge_algorithms\ka_19_knowledge_synthesis.py                         51     51   0.00%   5-79
backend\knowledge_algorithms\ka_20_loopback_trigger.py                            58     58   0.00%   5-87
backend\knowledge_algorithms\ka_21_emergence_detection.py                         52     52   0.00%   5-78
backend\knowledge_algorithms\ka_22_risk_assessment.py                             51     51   0.00%   5-79
backend\knowledge_algorithms\ka_23_belief_decay.py                                64     64   0.00%   5-96
backend\knowledge_algorithms\ka_24_trust_gate.py                                  48     48   0.00%   5-72
backend\knowledge_algorithms\ka_25_dependency_mapping.py                          42     42   0.00%   5-69
backend\knowledge_algorithms\ka_26_contradiction_detection.py                     54     54   0.00%   5-89
backend\knowledge_algorithms\ka_27_ethical_impact_analysis.py                     50     50   0.00%   5-75
backend\knowledge_algorithms\ka_28_point_of_view_expansion.py                     51     51   0.00%   5-80
backend\knowledge_algorithms\ka_29_knowledge_expansion.py                         41     41   0.00%   5-69
backend\knowledge_algorithms\ka_30_conflict_resolution.py                         64     64   0.00%   5-126
backend\knowledge_algorithms\ka_31_algorithm_selection_engine.py                  46     46   0.00%   5-72
backend\knowledge_algorithms\ka_32_simulation_orchestration_controller.py         45     45   0.00%   5-73
backend\knowledge_algorithms\ka_33_reserved_expansion_slot.py                     16     16   0.00%   5-29
backend\knowledge_algorithms\ka_34_adversarial_reasoning.py                       48     48   0.00%   5-75
backend\knowledge_algorithms\ka_35_bayesian_gap_imputation.py                     45     45   0.00%   5-70
backend\knowledge_algorithms\ka_36_complexity_estimator.py                        27     27   0.00%   5-46
backend\knowledge_algorithms\ka_37_resource_allocator.py                          27     27   0.00%   5-46
backend\knowledge_algorithms\ka_38_consensus_engine.py                            73     73   0.00%   5-136
backend\knowledge_algorithms\ka_39_anomaly_detection.py                           29     29   0.00%   5-49
backend\knowledge_algorithms\ka_40_hypothesis_generation.py                       26     26   0.00%   5-47
backend\knowledge_algorithms\ka_41_abductive_reasoning.py                         26     26   0.00%   5-51
backend\knowledge_algorithms\ka_42_counterfactual_simulator.py                    27     27   0.00%   5-45
backend\knowledge_algorithms\ka_43_causal_inference.py                            29     29   0.00%   5-48
backend\knowledge_algorithms\ka_44_analogical_mapping.py                          27     27   0.00%   5-46
backend\knowledge_algorithms\ka_45_pattern_recognition.py                         28     28   0.00%   5-46
backend\knowledge_algorithms\ka_46_trend_analysis.py                              28     28   0.00%   5-46
backend\knowledge_algorithms\ka_47_sentiment_analysis.py                          33     33   0.00%   5-52
backend\knowledge_algorithms\ka_48_entity_extraction.py                           30     30   0.00%   5-49
backend\knowledge_algorithms\ka_49_relation_extraction.py                         29     29   0.00%   5-51
backend\knowledge_algorithms\ka_50_knowledge_integrity_validator.py               52     52   0.00%   5-84
backend\knowledge_algorithms\ka_50_summarization.py                               27     27   0.00%   5-45
backend\knowledge_algorithms\ka_51_self_correcting_knowledge_distillation.py      44     44   0.00%   5-70
backend\knowledge_algorithms\ka_52_temporal_knowledge_evolution.py                53     53   0.00%   5-80
backend\knowledge_algorithms\ka_53_dynamic_knowledge_compression.py               46     46   0.00%   5-72
backend\knowledge_algorithms\ka_54_cross_lingual_knowledge_fusion.py              46     46   0.00%   5-73
backend\knowledge_algorithms\ka_55_adaptive_multi_modal_integration.py            50     50   0.00%   5-76
backend\knowledge_algorithms\ka_56_narrative_explainability_engine.py             42     42   0.00%   5-69
backend\knowledge_algorithms\ka_57_persona_emotion_adaptation.py                  41     41   0.00%   5-66
backend\knowledge_algorithms\ka_58_interactive_clarification_learning.py          51     51   0.00%   5-73
backend\knowledge_algorithms\ka_59_predictive_layer_preemption.py                 44     44   0.00%   5-66
backend\knowledge_algorithms\ka_60_cognitive_load_balancer.py                     51     51   0.00%   5-76
backend\knowledge_algorithms\ka_61_adversarial_input_shield.py                    44     44   0.00%   5-80
backend\knowledge_algorithms\ka_62_decentralized_trust_scoring.py                 45     45   0.00%   5-80
backend\knowledge_algorithms\ka_63_continuous_performance_learning.py             45     45   0.00%   5-75
backend\knowledge_algorithms\ka_64_failure_pattern_detection.py                   48     48   0.00%   5-72
backend\knowledge_algorithms\ka_65_knowledge_regression_tester.py                 44     44   0.00%   5-72
backend\knowledge_algorithms\ka_66_causal_inference_engine.py                     44     44   0.00%   5-70
backend\knowledge_algorithms\ka_67_analogical_reasoning_engine.py                 45     45   0.00%   5-71
backend\knowledge_algorithms\ka_68_domain_specialization_tuner.py                 39     39   0.00%   5-64
backend\knowledge_algorithms\ka_69_cultural_context_adapter.py                    44     44   0.00%   5-67
backend\knowledge_algorithms\ka_70_counterfactual_scenario_simulator.py           42     42   0.00%   5-68
backend\knowledge_algorithms\ka_71_data_ingestion.py                              47     47   0.00%   5-91
backend\knowledge_algorithms\ka_72_data_cleaning.py                               47     47   0.00%   5-72
backend\knowledge_algorithms\ka_73_data_transformation.py                         46     46   0.00%   5-70
backend\knowledge_algorithms\ka_74_data_validation.py                             60     60   0.00%   5-102
backend\knowledge_algorithms\ka_75_schema_mapping.py                              47     47   0.00%   5-72
backend\knowledge_algorithms\ka_76_entity_resolution.py                           53     53   0.00%   5-80
backend\knowledge_algorithms\ka_77_data_enrichment.py                             46     46   0.00%   5-71
backend\knowledge_algorithms\ka_78_data_archival.py                               41     41   0.00%   5-66
backend\knowledge_algorithms\ka_79_data_retrieval.py                              39     39   0.00%   5-63
backend\knowledge_algorithms\ka_80_cache_management.py                            41     41   0.00%   5-69
backend\knowledge_algorithms\ka_81_model_training.py                              41     41   0.00%   5-67
backend\knowledge_algorithms\ka_82_model_evaluation.py                            40     40   0.00%   5-63
backend\knowledge_algorithms\ka_83_model_deployment.py                            40     40   0.00%   5-63
backend\knowledge_algorithms\ka_84_model_monitoring.py                            42     42   0.00%   5-67
backend\knowledge_algorithms\ka_85_feature_engineering.py                         40     40   0.00%   5-64
backend\knowledge_algorithms\ka_86_hyperparameter_tuning.py                       43     43   0.00%   5-71
backend\knowledge_algorithms\ka_87_model_versioning.py                            38     38   0.00%   5-61
backend\knowledge_algorithms\ka_88_ab_testing.py                                  39     39   0.00%   5-61
backend\knowledge_algorithms\ka_89_model_pruning.py                               39     39   0.00%   5-62
backend\knowledge_algorithms\ka_90_model_quantization.py                          39     39   0.00%   5-62
backend\knowledge_algorithms\ka_91_visualization.py                               38     38   0.00%   5-64
backend\knowledge_algorithms\ka_92_dashboarding.py                                38     38   0.00%   5-64
backend\knowledge_algorithms\ka_93_notification.py                                40     40   0.00%   5-62
backend\knowledge_algorithms\ka_94_reporting.py                                   39     39   0.00%   5-61
backend\knowledge_algorithms\ka_95_alerting.py                                    39     39   0.00%   5-62
backend\knowledge_algorithms\ka_96_logging.py                                     44     44   0.00%   5-67
backend\knowledge_algorithms\ka_97_auditing.py                                    39     39   0.00%   5-62
backend\knowledge_algorithms\ka_98_profiling.py                                   37     37   0.00%   5-64
backend\knowledge_algorithms\ka_99_debugging.py                                   38     38   0.00%   5-64
backend\knowledge_algorithms\ka_100_optimization.py                               38     38   0.00%   5-64
backend\knowledge_algorithms\ka_101_environment_management.py                     39     39   0.00%   5-62
backend\knowledge_algorithms\ka_102_dependency_injection.py                       38     38   0.00%   5-60
backend\knowledge_algorithms\ka_103_service_mesh.py                               38     38   0.00%   5-62
backend\knowledge_algorithms\ka_104_load_balancing.py                             39     39   0.00%   5-63
backend\knowledge_algorithms\ka_105_scalability_manager.py                        41     41   0.00%   5-66
backend\knowledge_algorithms\ka_106_fault_tolerance.py                            39     39   0.00%   5-72
backend\knowledge_algorithms\ka_107_disaster_recovery.py                          38     38   0.00%   5-71
backend\knowledge_algorithms\ka_108_backup_strategy.py                            37     37   0.00%   5-61
backend\knowledge_algorithms\ka_109_system_health.py                              37     37   0.00%   5-60
backend\knowledge_algorithms\ka_110_integration_bus.py                            38     38   0.00%   5-62
backend\knowledge_algorithms\ka_111_api_gateway.py                                44     44   0.00%   1-74
backend\knowledge_algorithms\ka_112_message_broker.py                             36     36   0.00%   1-53
backend\knowledge_algorithms\ka_113_complexity_router.py                          42     42   0.00%   1-62
backend\knowledge_algorithms\ka_114_federated_outbox.py                           26     26   0.00%   5-52
backend\knowledge_algorithms\ka_115_federated_inbox.py                            32     32   0.00%   5-54
backend\knowledge_algorithms\ka_116_entropy_detection.py                          36     36   0.00%   1-54
backend\knowledge_algorithms\ka_master_controller.py                              81     81   0.00%   6-131
backend\knowledge_algorithms\l9\__init__.py                                        9      9   0.00%   15-34
backend\knowledge_algorithms\l9\l9_ka_001_trace_analyzer.py                       28     28   0.00%   11-72
backend\knowledge_algorithms\l9\l9_ka_002_belief_drift.py                         44     44   0.00%   10-90
backend\knowledge_algorithms\l9\l9_ka_003_persona_auditor.py                      25     25   0.00%   10-62
backend\knowledge_algorithms\l9\l9_ka_004_meta_evaluator.py                       30     30   0.00%   11-80
backend\knowledge_algorithms\l9\l9_ka_005_recursion_trigger.py                    27     27   0.00%   10-69
backend\knowledge_algorithms\l9\l9_ka_006_confidence_calc.py                      16     16   0.00%   12-67
