canonical_id,name,missing_fields,production_enabled,classification,effect_class,writes_memory,produces_artifacts,triggers,declared_layers,declared_subsystems,declared_dependencies,primary_owner,implementation_source,candidate_purpose,purpose_evidence,candidate_risk_class,risk_rule,candidate_category,status
KA-036,Complexity Estimator,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,governed_request_dmrf,backend/knowledge_algorithms/ka_36_complexity_estimator.py,KA-036: bounded complexity estimation from supplied request signals.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-037,Resource Allocator,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,simulation,backend/knowledge_algorithms/ka_37_resource_allocator.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-038,Consensus Engine,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,KA-013|KA-030,dsqp_quad_persona,backend/knowledge_algorithms/ka_38_consensus_engine.py,KA-038: deterministic DSQP consensus-readiness assessment.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-039,Anomaly Detection,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,truthcore_l1_l5,backend/knowledge_algorithms/ka_39_anomaly_detection.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-040,Hypothesis Generation,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,truthcore_l1_l5,backend/knowledge_algorithms/ka_40_hypothesis_generation.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-041,Abductive Reasoning,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,truthcore_l1_l5,backend/knowledge_algorithms/ka_41_abductive_reasoning.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-042,Counterfactual Simulator,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,simulation,backend/knowledge_algorithms/ka_42_counterfactual_simulator.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-043,Causal Inference,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,truthcore_l1_l5,backend/knowledge_algorithms/ka_43_causal_inference.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-044,Analogical Mapping,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,truthcore_l1_l5,backend/knowledge_algorithms/ka_44_analogical_mapping.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-045,Pattern Recognition,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,truthcore_l1_l5,backend/knowledge_algorithms/ka_45_pattern_recognition.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-046,Trend Analysis,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,truthcore_l1_l5,backend/knowledge_algorithms/ka_46_trend_analysis.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-047,Sentiment Analysis,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,truthcore_l1_l5,backend/knowledge_algorithms/ka_47_sentiment_analysis.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-048,Entity Extraction,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,truthcore_l1_l5,backend/knowledge_algorithms/ka_48_entity_extraction.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-049,Relation Extraction,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,truthcore_l1_l5,backend/knowledge_algorithms/ka_49_relation_extraction.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-050,Summarization,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,truthcore_l1_l5,backend/knowledge_algorithms/ka_50_summarization.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-071,Data Ingestion,purpose|category|risk_class,True,deterministic_heuristic,effect_oriented_review_required,False,False,,,,,ingestion,backend/knowledge_algorithms/ka_71_data_ingestion.py,KA-071: validate a bounded local-file ingestion proposal.,module_docstring,OWNER_DECISION,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-072,Data Cleaning,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,KA-071,ingestion,backend/knowledge_algorithms/ka_72_data_cleaning.py,"KA-072: deterministic, local ingestion-metadata cleaning.",module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-073,Data Transformation,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,KA-072,ingestion,backend/knowledge_algorithms/ka_73_data_transformation.py,KA-073: normalize secure-ingestion metadata types.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-074,Data Validation,purpose|category|risk_class,True,production_validator,pure_or_advisory_review_required,False,False,,,,KA-073,ingestion,backend/knowledge_algorithms/ka_74_data_validation.py,KA-074: fail-closed validation for secure-ingestion metadata.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-075,Schema Mapping,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,KA-074,ingestion,backend/knowledge_algorithms/ka_75_schema_mapping.py,KA-075: explicit local schema mapping for admitted records.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-076,Entity Resolution,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,KA-075,ingestion,backend/knowledge_algorithms/ka_76_entity_resolution.py,KA-076: deterministic exact-key resolution for ingestion metadata.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-077,Data Enrichment,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,KA-076,ingestion,backend/knowledge_algorithms/ka_77_data_enrichment.py,KA-077: bounded local-rule enrichment with no provider egress.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-078,Data Archival,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,KA-077,ingestion,backend/knowledge_algorithms/ka_78_data_archival.py,KA-078: produce a bounded archive-eligibility proposal.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-079,Data Retrieval,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,retrieval_graph_memory,backend/knowledge_algorithms/ka_79_data_retrieval.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-080,Cache Management,purpose|category|risk_class,True,deterministic_heuristic,effect_oriented_review_required,False,False,,,,,retrieval_graph_memory,backend/knowledge_algorithms/ka_80_cache_management.py,,name_echo_unusable,OWNER_DECISION,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-081,Model Training,purpose|category|risk_class,True,deterministic_heuristic,effect_oriented_review_required,False,False,,,,KA-085|KA-086,provider_gateway,backend/knowledge_algorithms/ka_81_model_training.py,KA-081: bounded model-training admission proposals.,module_docstring,OWNER_DECISION,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-082,Model Evaluation,purpose|category|risk_class,True,production_validator,pure_or_advisory_review_required,False,False,,,,,provider_gateway,backend/knowledge_algorithms/ka_82_model_evaluation.py,KA-082: measured model evaluation from caller-supplied outcomes.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-083,Model Deployment,purpose|category|risk_class,True,deterministic_heuristic,effect_oriented_review_required,False,False,,,,KA-087|KA-088|KA-089|KA-090,provider_gateway,backend/knowledge_algorithms/ka_83_model_deployment.py,KA-083: dependency-bound model deployment-admission proposals.,module_docstring,OWNER_DECISION,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-084,Model Monitoring,purpose|category|risk_class,True,production_validator,pure_or_advisory_review_required,False,False,,,,,provider_gateway,backend/knowledge_algorithms/ka_84_model_monitoring.py,,name_echo_unusable,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-085,Feature Engineering,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,provider_gateway,backend/knowledge_algorithms/ka_85_feature_engineering.py,"KA-085: deterministic, in-memory tabular feature construction.",module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-086,Hyperparameter Tuning,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,provider_gateway,backend/knowledge_algorithms/ka_86_hyperparameter_tuning.py,KA-086: measured hyperparameter candidate ranking and proposal creation.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-087,Model Versioning,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,provider_gateway,backend/knowledge_algorithms/ka_87_model_versioning.py,KA-087: deterministic model-version registration proposals.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
KA-088,A/B Testing,purpose|category|risk_class,True,deterministic_heuristic,pure_or_advisory_review_required,False,False,,,,,provider_gateway,backend/knowledge_algorithms/ka_88_ab_testing.py,KA-088: deterministic A/B assignment and measured analysis proposals.,module_docstring,Low,R1_effect_class,OWNER_DECISION,PROPOSED_REQUIRES_OWNER_APPROVAL
